Concurso;Data_Sorteio;Bola1;Bola2;Bola3;Bola4;Bola5;Bola6;Bola7;Bola8;Bola9;Bola10;Bola11;Bola12;Bola13;Bola14;Bola15;Arrecadacao_Total;Ganhadores_15_Numeros;Ganhadores_14_Numeros;Ganhadores_13_Numeros;Ganhadores_12_Numeros;Ganhadores_11_Numeros;Valor_Rateio_15_Numeros;Valor_Rateio_14_Numeros;Valor_Rateio_13_Numeros;Valor_Rateio_12_Numeros;Valor_Rateio_11_Numeros;Acumulado_15_Numeros;Estimativa_Premio;Valor_Acumulado_Especial;Pares;Impares;N_Primos
1;29/09/2003;02;03;05;06;09;10;11;13;14;16;18;20;23;24;25;0,00;5;154;4645;48807;257593;0;0;0;0;0;0;0;0;8;7;6
2;06/10/2003;01;04;05;06;07;09;11;12;13;15;16;19;20;23;24;0,00;1;184;6232;81252;478188;0;0;0;0;0;0;0;0;6;9;6
3;13/10/2003;01;04;06;07;08;09;10;11;12;14;16;17;20;23;24;0,00;2;158;6897;96244;608211;0;0;0;0;0;0;0;0;9;6;4
4;20/10/2003;01;02;04;05;08;10;12;13;16;17;18;19;23;24;25;0,00;1;258;9569;123912;706657;0;0;0;0;0;0;0;0;8;7;6
5;27/10/2003;01;02;04;08;09;11;12;13;15;16;19;20;23;24;25;0,00;2;472;14736;195636;860992;0;0;0;0;0;0;0;0;7;8;5
6;03/11/2003;01;02;04;05;06;07;10;12;15;16;17;19;21;23;25;0,00;2;393;14242;162320;888301;0;0;0;0;0;0;0;0;6;9;6
7;10/11/2003;01;04;07;08;10;12;14;15;16;18;19;21;22;23;25;0,00;9;1333;25878;206828;967358;0;0;0;0;0;0;0;0;8;7;3
8;17/11/2003;01;05;06;08;09;10;13;15;16;17;18;19;20;22;25;0,00;1;256;11414;149037;926910;0;0;0;0;0;0;0;0;7;8;4
9;24/11/2003;03;04;05;09;10;11;13;15;16;17;19;20;21;24;25;0,00;3;407;14973;213511;1104328;0;0;0;0;0;0;0;0;5;10;6
10;01/12/2003;02;03;04;05;06;08;09;10;11;12;14;19;20;23;24;0,00;0;380;15767;207355;1186563;0;0;0;0;0;0;0;0;9;6;6
11;08/12/2003;02;06;07;08;09;10;11;12;16;19;20;22;23;24;25;0,00;0;306;14249;216679;1343171;0;0;0;0;0;0;0;0;9;6;5
12;15/12/2003;01;02;04;05;07;08;09;10;11;12;14;16;17;24;25;0,00;1;631;24400;322557;1607584;0;0;0;0;0;0;0;0;8;7;5
13;22/12/2003;03;05;06;07;08;09;10;11;13;14;15;16;17;19;23;0,00;3;714;27399;320961;1501354;0;0;0;0;0;0;0;0;5;10;8
14;29/12/2003;01;02;05;06;07;09;13;14;15;18;19;20;21;23;25;0,00;3;444;15;214582;1149506;0;0;0;0;0;0;0;0;5;10;6
15;05/01/2004;01;02;04;06;08;10;12;15;16;18;19;21;23;24;25;0,00;22;2059;38038;379994;1198158;0;0;0;0;0;0;0;0;9;6;3
16;12/01/2004;02;05;06;07;08;10;12;13;15;17;19;21;23;24;25;0,00;9;1086;29005;329409;1471908;0;0;0;0;0;0;0;0;6;9;7
17;19/01/2004;01;02;03;05;06;07;09;13;14;16;17;18;19;20;21;0,00;1;320;14425;232740;1083387;0;0;0;0;0;0;0;0;6;9;7
18;26/01/2004;02;06;07;08;10;11;14;15;17;18;19;20;22;23;24;0,00;3;309;12373;174339;1079894;0;0;0;0;0;0;0;0;9;6;6
